Category: Arts & Entertainment

Week,Netflix: (United States),Hulu: (United States),prime video: (United States),apple tv: (United States)
2018-08-05,59,13,1,<1
2018-08-12,61,13,1,<1
2018-08-19,62,13,1,<1
2018-08-26,60,14,1,<1
2018-09-02,62,16,1,<1
2018-09-09,55,15,1,<1
2018-09-16,58,16,1,<1
2018-09-23,57,21,1,<1
2018-09-30,56,17,1,<1
2018-10-07,57,16,1,<1
2018-10-14,59,16,1,<1
2018-10-21,61,14,1,<1
2018-10-28,64,15,1,<1
2018-11-04,54,14,1,<1
2018-11-11,55,14,1,<1
2018-11-18,63,20,1,1
2018-11-25,55,26,1,<1
2018-12-02,59,16,1,<1
2018-12-09,59,15,1,<1
2018-12-16,65,15,1,<1
2018-12-23,94,19,1,1
2018-12-30,93,20,1,1
2019-01-06,78,19,1,1
2019-01-13,81,18,1,<1
2019-01-20,80,20,1,<1
2019-01-27,73,18,1,<1
2019-02-03,61,18,1,<1
2019-02-10,63,17,1,<1
2019-02-17,64,17,1,<1
2019-02-24,58,17,1,<1
2019-03-03,59,17,1,<1
2019-03-10,58,20,1,<1
2019-03-17,58,20,1,<1
2019-03-24,57,20,1,1
2019-03-31,58,20,1,<1
2019-04-07,55,20,1,<1
2019-04-14,58,22,1,<1
2019-04-21,56,19,1,<1
2019-04-28,58,20,1,<1
2019-05-05,58,18,1,<1
2019-05-12,57,19,1,<1
2019-05-19,60,19,1,<1
2019-05-26,69,19,1,<1
2019-06-02,63,20,1,<1
2019-06-09,61,19,1,<1
2019-06-16,64,20,1,<1
2019-06-23,64,19,1,<1
2019-06-30,65,19,1,<1
2019-07-07,63,18,1,<1
2019-07-14,62,18,1,<1
2019-07-21,62,18,1,<1
2019-07-28,61,19,1,<1
2019-08-04,58,19,1,<1
2019-08-11,59,18,1,<1
2019-08-18,59,18,1,1
2019-08-25,59,18,1,<1
2019-09-01,59,20,1,<1
2019-09-08,54,20,1,1
2019-09-15,59,17,1,1
2019-09-22,56,19,1,1
2019-09-29,56,20,1,1
2019-10-06,58,19,1,1
2019-10-13,55,18,1,1
2019-10-20,58,18,1,1
2019-10-27,60,18,1,1
2019-11-03,60,18,1,2
