,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B00UNVZVX2,0,0,0,0,0,0
1,B01D2TSFX4,"CHINFAI Portable Wired USB Keyboard Silicone Silent Waterproof Keyboards for Computer Laptop PC, Pink",CHINFAI,3.2 out of 5 stars,156 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Keyboards, Mice & Accessories', 'Keyboards']","['Make sure this fits\nby entering your model number.', 'Portable laptop keyboard foldable, ultra slim and compact, can be folded very small to put in a backpack, great for travel', 'Soft silicone rubber brings quiet typing experience. perfect for school, library, evening work or any silent environment without disturbing others', 'Extremely sensitive key on keyboard, numeric keypad added', 'Waterproof & dustproof design, easy to clean and wash', 'User-friendly, medical grade silicone (certified by FDA), it is environmental protection materials and harmless to health']"
2,B00YBC8G5E,SquareTrade 3-Year Housewares Extended Protection Plan ($150-174.99),SquareTrade,4.3 out of 5 stars,91 ratings,"['Electronics', 'Electronics Warranties']","['Make sure this fits\nby entering your model number.', ""What's Covered: mechanical and electrical failures during normal use, 100% parts and labor"", 'Get fast repairs or replacements from SquareTrade, an Allstate company', '24/7 customer support, free shipping for all repairs, no deductibles or hidden fees', 'Cancel anytime, full refund in first 30 days, fully transferable with gifts', 'SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase']"
3,B01H1KU86C,"SM-T350 Case with [Stylus Pen], Tab A 8.0 Case 2015 Model, Dteck Pretty Nice Cute Butterfly Flip Stand Case PU Leather Folio Pocket Cover for Samsung Galaxy Tab A 8 Inch 2015 Version(Purple)",Dteck,3.8 out of 5 stars,229 ratings,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Cases']","['Make sure this fits\nby entering your model number.', '[Compatible Samsung Tablet]: Samsung Galaxy Tab A 8.0 Inch-2015 release tablet, model number: SM-T350. (Pay Attention: galaxy tab A 8.0-inch has 3 version tablet, tab a 8.0"" 2015 release (sm-t350) & tab a 8.0"" 2017 release (sm-t380/sm-t385) & tab a 8.0"" 2018 release (sm-t387). Please confirm your tablet version from Device Setting - Device Information - Model before order this case.)', '[High Quality Material]: Synthetic leather exterior and silicone interior, nice texture and comfortable in hand, full cover the tablet to provide good protection!', '[Card Slots]: inner 3 pockets design, could hold cards, cash, papers and notes for easy access.', '[Stand Feature]: adjustable viewing angles, hands free for watching video and reading.', '[Precise Cutouts & Free Gifts]: accurate openings for all ports, easy access without removing case; 1pcs random color stylus pen and 1pcs cleaning cloth.']"
4,B00WAL97KG,0,0,0,0,0,0
5,B00WR6ZQTK,Pyle Dash Cam Car Recorder Dual DVR - 4.25 Inch Monitor Blackbox Rear View Camera 1080p HD Video Security Loop Camcorder - PiP Night Vision Audio Record Micro SD & Built-in Microphone (PLCMDVR42),Pyle,3.0 out of 5 stars,103 ratings,"['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Video', 'On-Dash Cameras']","['ULTRA HD VIDEO QUALITY: This blackbox car recorder can be windshield mount with full hd 1080p cmd full shading. Video is striking for quality, give high assurance. Pyle PLCMDVR42 camera recorders is an absolute necessity to have frill for your vehicle.', 'WIDE ANGLE & NIGHT VISION: 140 degrees road view auto camcorder, worked in IR with external lights, striking night video quality. A more sharp picture on your auto camera recorder 1080p HD your onlooker never obstructed. Have security while out & about', 'FAVORABLE & SAFEGUARDS: Records sharper image when engine starts. Safety discovery g-sensor and manual crisis bolt catch. Current video 4.25 inch dash camera from overwritten, Accident free driving park protect canine for perception of your vehicle', 'UNENDING SEAMLESS RECORDING: Loop digital car dual dvr camera pip record engages to overwrite video in vehicle with the freshest, Modified and reliable sound recording. Micro sd card up to 32GB. Capacity to quickly playback audio programmed recorded video', 'WHAT YOU GET DASH CAM: This stealth hidden dashboard cam can do reverse parking of front & car rear view camera. With control link, windshield mount and data exchange cable clasps, & usb connector. Simple document sharing and information exchange.']"
6,B00X69C7PS,iHome Bluetooth Dual Alarm FM Clock Radio with Speakerphone and Dual USB Charging (Dual Charge),iHome,4.0 out of 5 stars,265 ratings,"['Electronics', 'Home Audio', 'Compact Radios & Stereos', 'Clock Radios']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
7,B00YP2KEGY,GranVela VJJB V1S High Definition Dual Dynamic Driver in-Ear Headphones with Mic and High Tensile Cable,GranVela,4.0 out of 5 stars,122 ratings,"['Electronics', 'Headphones', 'Earbud Headphones']","['No deductibles or added costs. Parts, labor and shipping included.', ""Drops, spills and cracked screens covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
8,B01G6QXMLA,Bluedio AS-BT (Air) Fashionable Dual Mode Sleek Stereo Wireless Bluetooth V4.1 Speakers Multi-Room Sharing Simulation 3D Home Family Speaker System Gift (Black),Bluedio,5 out of 5 stars,35 ratings,"['Electronics', 'Portable Audio & Video', 'Portable Speakers & Docks', 'Portable Bluetooth Speakers']","['【Distinctive and individualized appearance】Just like A, AS-BT also has youthful and fashionable personality. As a portable wireless Bluetooth speaker, AS-BT will bring you wonderful music, highlight your personality and make you become different.', '【52mm fiberglass speakers】AS-BT has two 50mm fiberglass speakers which can sharply improve the low frequency performance and make the sound softer and clearer, so as to bring you a more comfortable listening experience.', '【Rear double bass radiator】AS-BT adopts the rear double bass radiator which can effectively utilize the air in the cavity to restore the low frequency, not only to prevent the hum of air, but also to make the low frequency more powerful.', '【Clearer and more stereo 3D sound effect】Bluedio has made a specific 3D sound adjustment for the new fiberglass speakers of AS-BT, which can improve the sound resolution and expand the sound field, to make the 3D sound clearer, more stereo and natural.', '【Latest Bluetooth 4.1】AS-BT adopts the latest Bluetooth 4.1, which makes the signal transmission more stable and faster. Besides, the lower power consumption enables the battery to last for a long time. While traveling outside, you can enjoy music without worries.']"
9,B00UQSCY00,Buffalo MediaStation 6x Portable BDXL Blu-Ray Writer with M-DISC Support (BRXL-PT6U2VB),BUFFALO,3.6 out of 5 stars,38 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'External Components', 'Optical Drives', 'Blu-ray Drives']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
