,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B01F4WU60C,"[Upgraded Version] ELECLOVER Portable Dynamo Emergency Solar Crank AM/FM/NOAA(WB) Weather Radio with LED Flashlight, Cell Phone Portable Charger, Yellow",ELECLOVER,3.7 out of 5 stars,139 ratings,"['Electronics', 'Portable Audio & Video', 'Radios', 'Weather Radios']","['UPGRADED VERSION: Brighter & higher battery capacity.', '1 MINUTE CRANKING: It can last over 20 minutes of radio or 30 minutes of flashlight just by 1 minute cranking.', 'AM/FM/NOAA WEATHER RADIO: A preparedness radio with AM/FM/NOAA(WB) weather band stations.', 'MORE THAN A RADIO: A 60 lumen flashlight & a 1000mAh portable smartphone charger.', '3 POWER OPTIONS: A rechargeable li-ion battery, solar power, hand crank.']"
1,B017R12JMQ,Cat 6 Ethernet Cable 50 ft (at a Cat5e Price but Higher Bandwidth) Cat6 Internet Network Cable - Flat Ethernet Patch Cable Short - Black Computer LAN Cable + Free Cable Clips and Straps,CableGeeker,4.5 out of 5 stars,"1,399 ratings","['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Cables & Interconnects', 'Ethernet Cables', 'Cat 6 Cables']","['Make sure this fits\nby entering your model number.', '✔Cat6 patch cable connects all the hardware destinations on a Gigabit Local Area Network (LAN), such as PCs, computer servers, printers, routers, switch boxes, network media players, NAS, VoIP phones, PoE devices, and more; Supports: Gigabit 1000 BASE-T; 100 BASE-T; 10 BASE-T .Meets or exceeds Category 6 performance in compliance with the TIA/EIA 568-C.2 standard', '✔Flexible and durable Cat6 cable with high bandwidth of up to 250 MHz guarantees high-speed data transfer for server applications, cloud storage, video chatting, online high definition video streaming, and online gaming', '✔Flat Cat 6 cable design helps avoid tangled cords and saves space.Flat Ethernet cable is super flexible when run under the carpet or bent in the plane of its thin cross-section such as doors, rotating arms, drawers etc', '✔UTP(Unshielded Twisted Pair) patch cable with RJ45 gold-plated Connectors are made of 100% bare copper wire, ensure minimal noise and interference', '✔Lifetime Support - If you are not satisfied with your cable, then please do not hesitate to reach out at any time.Our friendly customer service are always standing by to help.']"
2,B01AFP08CY,"iPad Pro 12.9 Case, Zeox iPad Pro 12.9 Ultra Slim Fit Folio Smart Case Cover Stand Folio Protective Cover Auto Wake/Sleep Feature for Apple iPad Pro 12.9 Retina Display 2015 Release - Blue",ZEOX,4.4 out of 5 stars,39 ratings,"['Electronics', 'Computers & Accessories', 'Tablet Accessories', 'Bags, Cases & Sleeves', 'Cases']","['Make sure this fits\nby entering your model number.', 'Zeox iPad Pro 12.9 Slim Smart Case Cover designed specifically for Apple iPad Pro 12.9 inches Tablet released in 2015. Easy access to all features, jacks, ports and buttons without removing the case.', 'Full body ultra protection for the iPad Pro 12.9 inch 2015 Release. Safeguards iPad Pro against drops and shocks by rubberized hard polycarbonate back case and front premium PU leather front smart case cover.', 'Auto wake up/sleep feature to save on power and battery life. Close to sleep and open to wake up to maximize your Apple iPad Pro 12.9 battery life and save on power while protecting it.', 'Stand feature allows vertical and horizontal convenient positions for watching movies and typing. Ultra strong built-in magnets holds the folded front cover panels firmly to stand the iPad Pro 12.9 inch and let you enjoy iPad Pro without holding it.', 'Easy installation, simply snap-on, and protect the Apple iPad Pro 12.9 with the premium crafted Zeox iPad Pro 12.9 Smart Case Cover. Zeox products are exclusively sold by Zeox only with lifetime warranty on any manufacturer defects.']"
3,B016Z3EGOG,"ProCase 12-12.9 inch Sleeve Case Bag for Surface Pro X 2017/Pro 7 6 4 3, MacBook Pro 13, iPad Pro Protective Carrying Cover Handbag for 11"" 12"" Lenovo Dell Toshiba HP ASUS Acer Chromebook -Light Gray",ProCase,4.6 out of 5 stars,"11,135 ratings","['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Bags, Cases & Sleeves', 'Sleeves']","['Make sure this fits\nby entering your model number.', 'External dimensions: 13 x 9.5 x 1.25 inches, internal dimensions: 12.5 x 9 x 1 inches, compatible with MacBook Pro 13 2019 2018 2017 2016 Released, MacBook Air 13 Inch(A1932), iPad Pro 12.9, Surface Pro X 7 6 4 3 2, Samsung HP Dell Lenovo Acer ASUS 11.6 12.2 12.5-inch Chromebook, , Surface Laptop 3/2/Book 2 13.5, Dell XPS 13, Dell Inspiron 13, HP EliteBook 13.3, HP Stream 11, HP - Pavilion x360 11.6"", ASUS VivoBook L203MA 11.6"", Lenovo 11.6 Inch Flex 11 Laptop, Google - Pixelbook Go 13.3""', 'Simple but meet your every needs. Slim, portable and lightweight to take alone, or slide it into your briefcase, backpack or any other bag, perfect for business, school or travel', 'Made of soft and environmentally friendly materials, this sleeve can protect your tablet/laptop against dust, dirt, scratches and bump/shock', 'Extra pocket in front, enough space to keep pens, mobile phone, cables, chargers, power bank etc.', 'This Sleeve bag can be fully opened at 180°, easily access your tablet/laptop']"
4,B01D219O6E,Earbuds Headphones with Remote Microphone Earphones for iPhone iPad Android Samsung HTC LG Tablets and All 3.5mm Audio Jack Devices,EldHus,4.1 out of 5 stars,448 ratings,"['Electronics', 'Headphones', 'On-Ear Headphones']","['24-Month Hassle-Free Warranty, Easy to Reach Customer Service.', 'Length of cable cord is 4 feet long. Built-in Remote Control and Microphone and Volume Control : Play/pause, fast-forward and rewind music, pick up and end calls, record voice memos. Package includes 1x earphones and 3x different earbud piece sizes (small, medium, large)', 'Compatibility:iPhone 4 / 4s /5 / 5c / 5s / se / 6 / 6 plus / 6s / 6s plus / 7 / 7 plus, ipad 2 / 3 / 4 / 5 / Pro / Air / Air 2 / mini / mini 2 / mini 3 / mini 4 /LG G3 / G4 / G5 / G6 / Microsoft lumia 650 / 950 / 950 xl / 550 / 640 xl / 640 / 532 / 435 / 535 / Nokia 3 / 5 / 6 / 3310 / 150 / HTC One M8 / M9, HTC 10, Google Pixel / Pixel XL Nexus 4 / 5 / 5X / 6P, Blu / Blackberry / Sony Xperia / Huawei', 'Samsung Galaxy s3 / s4 / s5 / s6 / s6 edge / s6 edge plus / s7 / s7 edge / s8 / s8 plus / j7 prime / a5 / c9 / j7 / j5 prime / a7 / j3 / j5 / j2 prime / j3 pro / grand prime / c7 pro / j2 / a3 / c5 / a9 pro / j1 ace / grand prime plus / c7 / j1 / grand 2 / c5 pro / a8 / j1 mini prime / ace 3 / a7 / on5 / on7 / on7 pro / core prime / alpha / on8 / e7, Samsung Galaxy Tab a 7.0 / s3 9.7 / a 10 / 3 7.0 / e 9.6 / 4 7.0 / 2 7.0 / a 8.0 / s2 9.7 / s2 8.0 / s 8.4 / 2 10.1 / note 8.0 / Note 3 / 4 / 5']"
5,B01DP5SS1O,"BULL-TECH A1280 Battery Replacement New Laptop Battery for Apple A1280 A1278 (2008 Version) MacBook 13-Inch Series, Compabiel for MB771G/A MB467LL/A MB466LL/A [Li-Polymer 6-Cell 45Wh]",BULL-TECH,4.0 out of 5 stars,385 ratings,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Batteries']","['Make sure this fits\nby entering your model number.', 'Battery type: Li-ion / 10.8V / 45Wh.', 'Replacement For:A1280 A1278 MB771 MB771*/A MB771J/A MB771LL/A.', 'CE FCC Certified for safety,100% OEM compatible.', 'Warranty: 12 Months Warranty, 30 days money return guarantee.', ""Please Note: this battery only fit 2008 Version,it won't fit 2009 2010 2011 version A1278 battery!""]"
6,B019HK5BRU,Logitech Wireless Wave Combo Mk550 With Keyboard and Laser Mouse (Renewed),Amazon Renewed,4.1 out of 5 stars,521 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Keyboards, Mice & Accessories', 'Keyboard & Mouse Combos']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
7,B01H7VRH3W,0,0,0,0,0,0
8,B01606KJ6C,"Microsoft Surface Pro 4 (128 GB, 4 GB RAM, Intel Core i5)",Microsoft,5.0 out of 5 stars,805 ratings,"['Electronics', 'Computers & Accessories', 'Computers & Tablets', 'Tablets']","['No deductibles or added costs. Parts, labor and shipping included.', ""Drops, spills and cracked screens covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
9,B017N5MSWC,Rockville R14GSBR100 Red/Blk 14 Gauge 100' Ft. Mini Spool Car Audio Speaker Wire,Rockville,4.0 out of 5 stars,54 ratings,"['Electronics', 'Car & Vehicle Electronics', 'Vehicle Electronics Accessories', 'Vehicle Audio & Video Installation']","[""Rockville R14GSBR100 Red/Blk 14 Gauge 100' Ft. Mini Spool Car Audio Speaker Wire. Gauge: 14 Gauge. Wire Length: 100 Foot Mini Spool. CUT FROM BULK 500' ROLL. Color: Red and Black."", 'Stranding: 72x0.15mm x 2C (72 Strands of 0.15mm Wire per Wire). Braided Super-Flex Design Ensures Optimum Surface Area and Flexibility.', 'The Super-Flex jacket was designed to handle the most extreme conditions. Tinned wire has superior corrosion resistance. These wires meet the high-powered demands of amplifiers and speakers.', 'Installation in the tightest of corners are easily conquered, thanks to our Super-Flex insulation. Drawn copper, unidirectional lay for ultimate in sound quality.', 'Designed for Show Car Performance. Delivers Impressive Clarity, Bass Response, and Dynamic Range. Eliminated Unwanted Noises and Maximizes Signal Transfer.']"
