,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B01B4SHM52,"SKIVA Micro USB Cables [4-Pack] USBLink Premium Short Length (6"" / 0.5ft) High Speed USB 2.0 Type-A Male to Micro-B Sync and Charge Cord for Android/Windows, Samsung, HTC, LG (Black) [Model:CB129]",SKIVA,4.4 out of 5 stars,70 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Cables & Interconnects']","['Make sure this fits\nby entering your model number.', ""SHORT LENGTH: 0.5 feet (15 cm) length, lightweight and highly durable quality makes it best for travel use. This cable is currently trending as 'best Samsung Galaxy S7 USB cable'."", ""COMPATIBILITY: Works with latest microUSB based Androind / Windows Smartphones, Tablets, MP3 players, Bluetooth Speakers, Power Banks, Digital cameras, PDA's etc."", 'HIGH SPEED: Enjoy charge times up to 30% faster than most standard alternatives and 480Mbps data transfer via USB 2.0 (backwards compatible).', 'PREMIUM: Durable and flexible cord with a 4000+ bend lifespan makes it ideal for replacing or adding another cable to use while charging in home, cars, office and more.', 'MODEL CB129 INCLUDES: 4 X Short USBLink microUSB Cable. It comes with 1 Year Hassle Free Warranty and full support from Skiva, so you can purchase with confidence.']"
1,B00XBL7LPM,GUANHE USB Drive Organizer Electronics Accessories Case Shuttle with Cable Tie / Hard Drive Bag,GUANHE,4.1 out of 5 stars,176 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Hard Drive Accessories', 'Hard Drive Bags & Cases']","['Make sure this fits\nby entering your model number.', 'Essentially Designed USB Flash Drive Bag Case Organizer / Hard Drive Bag Case Organizer / Electronic Accessories Travel Organizer; Only the Case Included', ""External Size: Length * Width * Height = 6.1'' * 3.6'' * 1.7'' / 22cm * 16cm * 4.5cm; Internal Size: Length * Width * Height = 8'' * 5.5'' * 1.6'' / 20.5cm *14cm * 4cm"", 'Made of Waterproof, Shockproof, Heavy-duty and Durable Material to Made the Case a Qualified Helper in Your Life', 'Multiple Easy Access Mesh Pockets Enables Different Size USB Flash Drives and Lines ETC; Card Holder Position Enables Credit Cards or Coins; Hard Drive Position Enables Hard Drive Storing', 'Cute, Classic and Portable Design Allows it to Be Put in the Handbag, Backpack or Other Place']"
2,B01B4J4WCW,SMA-09 Smart Fitness Tracker Watch Smartwatch for iPhone 5 5s 6 6s 6plus 7 7s 7plus 8 and Android Phone for Men Black Activity Tracker,SMA,2.5 out of 5 stars,53 ratings,"['Electronics', 'Wearable Technology', 'Smartwatches']","['Activity Tracking Smart Watch', 'Pedometer,Sleeping Tracking,Call,Phone book,Call records,Music control,Sedentary,Anti-lost,Remote Capture', 'IP54 waterproof and anti-splash, support wash hand and wear in the raining day', 'Calling/Message vibration notification and LED light will be flash', 'Compatible with: Android 4.4 or above,iOS 8.0 or above, iPhone 5/5s/6/6s/plus/7/plus/8 X ,Bluetooth 4.0 or above.Great for Gift']"
3,B015R3XJCK,0,0,0,0,0,0
4,B00JFJL9MA,Generic FBA_LYSB00JFJL9MA-ELECTRNCS GENERIC Remote CONTRIL AA59-00594A Smart tv for Samsung tv,Generic,3.9 out of 5 stars,803 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Remote Controls & Accessories', 'Remote Controls']","['Make sure this fits\nby entering your model number.', 'Works with Selected Samsung TVs']"
5,B011QXHNZY,"Acer K2 K242HQLBBMD 24"" Screen LED-Lit Monitor",Acer,4 out of 5 stars,34 ratings,"['Electronics', 'Computers & Accessories', 'Monitors']","['Make sure this fits\nby entering your model number.', 'Stunning performance', 'Comfortable views', 'Smart design.Viewing angles 170° horizontal,160° vertical', 'Environment-friendly']"
6,B018RV7ST4,"Leme EB20A Wireless Ergonomic Bluetooth 4.0 Over Ear Headphone with Built-in Mic and 12 Hour Battery, with Noise Reduction and Echo Cancellation, Perfect Headset for Gaming and Music (Red)",LEME BLUETOOTH,4.2 out of 5 stars,163 ratings,"['Electronics', 'Headphones', 'Over-Ear Headphones']",['Music play time: up to 12 hours; Standby time: up to 26 days; Charging time: 3 hours; Range: 32ft; Micro USB charging port; DSP: CVC 6.0 noise suppression & echo cancellation; Includes USB cable; Red;']
7,B00J46VW9O,"iXCC MFi Lightning Cable 10ft, iPhone Charger, for iPhone X, 8, 8 Plus, 7, 7 Plus, 6s, 6s Plus, 6, 6 Plus, SE 5s 5c 5, iPad Air 2 Pro, iPad Mini 2 3 4, iPad 4th Gen (Black)",iXCC,4.0 out of 5 stars,"3,447 ratings","['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Cables & Interconnects', 'Lightning Cables']","['Make sure this fits\nby entering your model number.', 'iXCC: Trusted by 5 million+ people for high quality innovative products.', 'Apple certified, MFi (made for iPhone/iPod/iPad)lightning cable, with authorization chip issued by Apple to ensure 100% compatibility with any Lightning device', 'Compatible with iPhone 5, 5c, 5s, SE, iPhone6, iphone6 Plus, iPhone6s, iphone6s Plus, iPhone 7, iPhone 7 Plus, iPod Nano 7, iPod Touch 5, iPad 4, iPad5, iPad Pro, iPad Air 2, iPad Air, iPad mini3, iPad Mini2, iPad Mini Retina, iPad Mini4', 'Please be sure that you are using quality chargers with built-in safety proctections. NOT compatialbe with iPhone 4, iPad2, iPad 3, iPod Nano 6, iPod Touch 4 or earlier versions.', 'iXCC offers 2-year warranty to replace the defective cables even wear and tear cables, ensures long-lasting enjoyment of your purchase.']"
8,B00XIR29Q0,Koolertron Rear View License Plate Backup CMOS Camera,Koolertron,3.6 out of 5 stars,"1,498 ratings","['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Safety & Security', 'Vehicle Backup Cameras']","['Image sensor: color CMOS Supports NTSC/PAL Video system', 'Effective pixels: PAL: 628*582 pixels', 'Power supply: DC12V', 'Minimum illumination: 03 Lux, F=1.2']"
9,B01995UABU,"LS Photography Photo Camera Lens Cleaning Air Blower with 16"" x 16"" Black SuperFiber Lens Cleaning Cloth, LGG87",LS PHOTOGRAPHY,4.0 out of 5 stars,10 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Cleaning Equipment', 'Compressed Air']","['Make sure this fits\nby entering your model number.', '(1) x Rocket Air Blower', 'Rocket air blower easily removes dust and debris from cameras, lenses, and filters with a powerful blast of air.', '(1) x Black SuperFiber Lens Cleaning Cloth (Size : 16"" x 16"")', 'Ultra gentle, leaving no scratches, streaks, or marks, safe for all surfaces and lenses.']"
