,asin,product_name,product_rating,product_rate_count,category,description
300,B01DNB0642,"D-FantiX Small Portable Fan Battery Operated Personal Fan Mini USB Rechargeable Handheld Fan for Home, Travel, Bedroom and Office (Black)",4.5 out of 5 stars,238 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'USB Gadgets', 'USB Fans']","['Make sure this fits\nby entering your model number.', 'PREMIUM QAULITY & UNIQUE DESIGN - Made of high-quality ABS, has a solid structure and pressure-resistant. Safe to use. Rechargeable and portable design .The sturdy fan produces a soft breeze to keep you cool and relaxed Ultra-quiet and angles adjustable. Using brushless motor technique, efficient power and conversion circuitry can minimize the loss to save energy and protect environment', 'COMPACT & PORTABLE- 4” palm-sized mini handheld Fan (USB Powered/ Rechargeable 2000mA 18650 lithium-ion battery operated), can be charged by USB charger, computer, power bank .Lightweight and handy . Compact and foldable, you can take it anywhere you like', 'MULTIFUNCTIONAL & PRACTICAL -User-friendly handgrip design. Foldable design: can be used as a desktop fan or handheld fan. With a hanger and a metal clip can be applied to umbrella, baby stroller, desktop, tent for hands free', 'GREAT GIFT IDEAS – Send it as a gift. Perfect cool mini foldable fan for indoor - the office, home, dorm, study, library, games room or outdoor activities - beach, picnic, sporting events, camping, hiking, cycling, backpacking, biking, climbing, boating, travel and more', 'Kind Reminder There is a piece of white insulator tab inside the battery case which needs to be removed before the fan operate. You have to pull out it from the battery case for it to work when not charging']"
301,B01G8HMAYM,"Kattee Vintage Cow Leather Flapover Messenger Bag Fit 10"" Laptop (Brown, Large)",4.5 out of 5 stars,194 ratings,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Bags, Cases & Sleeves', 'Messenger & Shoulder Bags']","['No deductibles or added costs. Parts, labor and shipping included.', 'Stains, rips or tears and seam separation covered from day one. Other breakdowns covered after the manufacturer warranty expires.', 'File a claim online or by phone 24/7.', ""If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
302,B019O78DPS,LG 34UC98-W 34-Inch 21:9 Curved UltraWide QHD IPS Monitor with Thunderbolt,4.0 out of 5 stars,170 ratings,"['Electronics', 'Computers & Accessories', 'Monitors']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
303,B01EBYK226,CT Sounds Meso 8 Inch Car Subwoofer 800w RMS Dual 4 Ohm,3.9 out of 5 stars,69 ratings,"['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Audio', 'Subwoofers', 'Component Subwoofers']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
304,B019P1HGME,0,0,0,0,0
305,B01C2ODQR0,Elviros 24x43in [60x110cm] Seamless Water-proof PVC Backdrop Background Paper for Photo Video Photography Studio - Red,3.5 out of 5 stars,59 ratings,"['Electronics', 'Camera & Photo', 'Lighting & Studio', 'Photo Studio', 'Backgrounds']","['Make sure this fits\nby entering your model number.', 'Professional quality, fine tooth non-reflecting surface available in an array of vibrant colors.', 'Fine scrub PVC background papaerboard, non reflective. Perfect for shooting jelwery, leather products, tuffed toys, etc.', 'Durable and washable featuring water-proof surface. Ideal for photo background, product shots for internet display or sales, display banners, drafting and decorations.', 'Size: 24x43in[60x110cm]; Color: Red; Quantity: 1 pc.', ""Works perfectly with Elviros 24'' Photo Lighting Studio Shooting Tent Kit: http://www.amazon.com/dp/B00WHX1LFG""]"
306,B01EJ1AFW8,Wangdd22 MAX7219 Dot Matrix Module For Arduino Microcontroller 4 In 1 Display with 5pin Line (Blue),4.0 out of 5 stars,61 ratings,"['Electronics', 'Computers & Accessories']","['Make sure this fits\nby entering your model number.', 'Operating Voltage: 5V', 'A single module can drive a 8x8 dot matrix common cathode', 'Dimensions: 12.8X12.8X1.3 cm', 'Fixing screws with 64 holes with a diameter 3mm', 'Module with input and output interfaces, support for cascading multiple modules']"
307,B01C9QFX0Y,GarageDoorBuddy Monitor - Monitor Your Garage Doors from Anywhere (Remote device sold separately),3.9 out of 5 stars,154 ratings,"['Electronics', 'Security & Surveillance', 'Home Security Systems']","['No deductibles or added costs. Parts, labor and shipping included.', 'Drops, spills and cracked screens covered from day one for portable products only.', ""Other breakdowns covered after the manufacturer's warranty expires."", ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
308,B01E5214MG,FLII Selfie Ring Light - Fits All Phones and Sizes. Great for Applying Make Up - Small and Compact | Phone 7/6 plus/6s/6/5s/5/4s/4/,3.5 out of 5 stars,48 ratings,"['Electronics', 'Camera & Photo', 'Lighting & Studio', 'Lighting', 'On-Camera Video Lights']","['Make sure this fits\nby entering your model number.', 'LIFE TIME GUARANTEE – Refunds or Exchanges if selfie light is not to your satisfaction.', 'COMPACT & LIGHT - Fits easily in your purse while traveling.', '3 BRIGHTNESS MODES – Adjust the brightness with a click of a button.', 'MAKE UP LIGHTING – Apply makeup with small portable lighting.', 'PERFECT GIFT – Excellent gift for your best friend.']"
309,B01BLVEVNS,"Kicker DSC650 DS Series 6.5"" 4-Ohm Coaxial Speakers - Pair",4.3 out of 5 stars,187 ratings,"['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Audio']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
310,B01EDFQAU6,"Toshiba Original 45W AC Adapter P/N: PA3822U-1ACA, PA5044U-1ACA, PA5096U-1ACA, PA5177U-1ACA, PA-1450-59, PA3822E-1AC3, PA5044E-1AC3, PA5177U-1AC3.",4.3 out of 5 stars,101 ratings,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Chargers & Adapters']","['Make sure this fits\nby entering your model number.', 'Original Toshiba P/N:PA5177U-1ACA (2 Prong Version)', 'In put :110V -240V Global , Out Put :19V 2.37A , Max 45W', '2 Prong US Power Cord Included', 'Compatible with P/N:PA3822U-1ACA, PA5044U-1ACA, PA5096U-1ACA, PA5177U-1ACA, PA-1450-59, PA3822E-1AC3, PA5044E-1AC3, PA5177U-1AC3.']"
311,B01F2REREU,"Cable Management On-Wall Raceway Kit, Easy Install, 200"" Total w/19 Couplers, Covers Your Whole Project- Saves You Money, Conceal and Organize Cables & Wires Around Your Home, Office, TV",4.5 out of 5 stars,176 ratings,"['Electronics', 'Accessories & Supplies', 'Cord Management', 'Cable Raceways']","['NOBODY OFFERS YOU THIS MANY RACEWAYS & COUPLERS IN ONE KIT FOR THIS LOW PRICE, SAVES YOU MONEY! 12- 16.7"" Raceways w/Tape, 19 Couplers, 28 Screws/Anchors, 12 Cable Clips, 6 Anti-Slump Strips. PLUS you can order separate Couplers- no need to buy another full Kit just to finish your project.', 'NO MEASURING/NO DRILLING EASY LAYOUT AND INSTALL. Patent Pending design! Just draw a center line- the Raceways and Couplers have built-in locator notches showing you where to cut and place your Raceways.', ""EXCLUSIVE FEATURES GUARANTEE YOUR PROJECT SUCCESS. The other guys don't tell you that closing their Raceways takes 4 hands, and your vertical runs will slump from gravity. Ours comes with Clips to hold cables in place, and a solution to prevent slump."", 'PRE-CUT EXTRA STRENGTH TAPE AND/OR SCREWS- YOU CHOOSE. PAINTABLE. EASILY CUT TO-LENGTH SECTIONS. Newly upgraded Double-Sided Tape comes in Pre-Cut Strips. Screws and Drywall Anchors. Paintable (no priming), though no need to paint if white matches your walls. Easy to follow step-by-step Installation Instructions.', 'PERFECT SIZE, FITS ALL YOUR CABLES. Most other cable management raceways are either too small to fit all your cables or look ridiculously HUGE on your wall. This is the perfect size. Pack it full of cables then use the Clips to hold them in place and easily close the covers.']"
312,B01HEFY7VQ,"Insten Portable Misting Handheld Fan, Mini Cool Mist Personal Humidifier w/USB Rechargeable Battery, Powerful Water Spray Cooling Electric Fan for Travel Outdoor Camping Music Festival Blue (3 Speed)",3.9 out of 5 stars,141 ratings,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'USB Gadgets', 'USB Fans']","['Make sure this fits\nby entering your model number.', 'HEAT WAVE IS COMING: How to stay cool in hot weather especially during outdoor activities? This Compact and lightweight Cooling Fan is the survival tool you must have in this year. Save you from the heart stroke. Stay cool in hot and crowded places.', ""SMART DESIGN: With 3 modes of speed and 2 modes of spraying. 20 ml water tank to contain enough moisture, while won't add extra burden to the fan. With 20 ml water bottle to fill water to the water tank with ease. LED display shows the operation mode."", 'RECHARGEABLE BATTERY: Power supplied by USB cable or lithium battery. Working time: 2 - 6 hours. Charging time: 3 hours. Keep you stay cool all day long with power bank. Perfect personal water misting fan for indoor - the office, home, dorm, study, library, games room or outdoor activities - beach, picnic, sporting events, camping, hiking, cycling.', 'PERFECT FOR EVERYONE: Packed in a delicate box, a great gift idea for mothers, kids, friends, colleagues. 2-in-1 fan and humidifier which can refresh and moisture your face and skin. Color: Blue. Weight: 190g. Size: 3.9 X 1.7 X 7 inches. Material: ABS Plastic. Powered by: 1 X 18650 lithium battery or charging cable.', 'PACKAGE INCLUDES: 1 X Mini handheld fan. 1 X USB charging cable. 1 X 20 ml water bottle. 1 X 18650 lithium battery.']"
313,B0180NMC5O,"8K HDMI Cable 6 Feet, HDMI 2.1 48Gbps CL3 in-Wall, Supports 8K 60Hz, 4K 120Hz(4 4 4, Dolby Vision, HDR10, E-ARC, HDCP 2.3) 4K 60Hz, 1440p 165Hz",4.5 out of 5 stars,1 rating,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Cables & Interconnects', 'Video Cables', 'HDMI Cables']","['Make sure this fits\nby entering your model number.', '4K UHD RESOLUTION (4096x2160 and 3840x2160) Provides maximum data throughput to work perfectly with new 4k Ultra HD TV']"
314,B018A2HAKM,"Bluetooth Headphones MSSV Flux V4.0 Bluetooth Wireless Headphones with Mic, Passive Noise Isolation, NFC and aptX for iPhone iPad iPod Samsung Travel Gym and Exercise (White)",3.7 out of 5 stars,50 ratings,"['Electronics', 'Headphones', 'Over-Ear Headphones']","['Make sure this fits\nby entering your model number.', 'Consumer Alert: Most users do not need a license to operate this wireless microphone system. Nevertheless, operating this microphone system without a license is subject to certain restrictions: the system may not cause harmful interference; it must operate at a low power level (not in excess of 50 milliwatts); and it has no protection from interference received from any other device.', ""Purchasers should also be aware that the FCC is currently evaluating use of wireless microphone systems, and these rules are subject to change. For more information, call the FCC at 1-888- CALL-FCC (TTY: 1-888-TELL-FCC) or visit the FCC's wireless microphone website at fcc.gov/cgb/wirelessmicrophones.""]"
315,B01AZHOKHQ,0,0,0,0,0
316,B018BCJKE0,"Cat 6 Ethernet Cable 25 ft White Flat - Solid Internet Network Lan patch cord – Cat6 High Speed Computer wire With clips & Rj45 Connectors for Router, modem, PS, Xbox– faster than Cat5e/Cat5 - 25 feet",4.7 out of 5 stars,"1,724 ratings","['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Cables & Interconnects', 'Ethernet Cables', 'Cat 6 Cables']","['Make sure this fits\nby entering your model number.', 'Jadaol High Performance Cat6 cable.', 'High Performance Cat6,30 AWG,UL Listed,RJ45 Ethernet Patch Cable provides universal connectivity for LAN network components such as PCs,computer servers,printers,routers,switch boxes,network media players,NAS,VoIP phones', 'Cat 6 standard provides performance of up to 250 MHz and is suitable for 10BASE-T,100BASE-TX(Fast Ethernet),1000BASE-T/1000BASE-TX(Gigabit Ethernet)and 10GBASE-T(10-Gigabit Ethernet)', 'UTP(Unshielded Twisted Pair) patch cable with RJ45 gold-plated Connectors and are made of 100% bare copper wire, ensure minimal noise and interference', 'Lifetime Warranty- free replacement and unconditional 90-day full refund guarantee. All messages would be replied within 24 hours as Technical Support']"
317,B017VOBQ2S,StarTech.com USB-C to HDMI Video Adapter Converter - 4K 30Hz - Thunderbolt 3 Compatible - USB 3.1 Type-C to HDMI Monitor Travel Dongle Black (CDP2HD),4.0 out of 5 stars,35 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Connectors & Adapters']","['THE STARTECH.COM ADVANTAGE: StarTech.com offers a 3-year warranty and free lifetime technical support on this USB 3.1 Type C to HDMI 1.4 video converter, and has been the choice of IT professionals and businesses for over 30 years.', '4K 30HZ PICTURE: This IT-grade video adapter projects flawless 4K video (backward compatible w/ 1080p) to your HDMI display or monitor, making it perfect for high-res tasks like video editing, streaming UHD content and delivering professional presentations.', 'THUNDERBOLT 3 AND USB 3.1 COMPATIBILITY: This monitor dongle connects to the USB Type C 3.1 or Thunderbolt 3 port on your laptop or tablet (with DP Alt Mode), and works great with devices like MacBook, Chromebook or the iPad Pro with USB C.', 'PLUG-AND-PLAY: Designed to work with any operating system, this AV converter offers a true plug-and-play solution, with no software or drivers required. It features a reversible USB C connector providing an easy connection to your Windows/Mac based device.', 'VERSATILITY ON THE GO: Use the travel adapter to extend or mirror your display, or create a dual-monitor workstation. Its compact design is ideal for BYOD (Bring Your Own Device) applications at the office or for connecting to an HDMI screen on the go.']"
318,B01FTX7M26,Channel Master CM-7777HD Amplify Adjustable Gain TV Antenna Preamplifier with LTE Filter | Indoor/Outdoor,3.5 out of 5 stars,133 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Antennas', 'TV Antennas']","['Improves signal quality', 'Indoor/Outdoor heavy-duty housing', 'Adjustable amplification (17 dB/30 dB) with flexible USB powering options', 'Blocks LTE interference from 3G/4G Smartphones and transmitters with EMI & FM Out of band filtering (Does not pass FM signals)', 'Includes Amplify TV antenna amplifier, USB Power Cord, Power Inserter, Power Adapter, (2) mast straps and (3) mounting screws']"
319,B01FTV5RYS,"NETGEAR VMK3500-100NAS Security Camera Kit with 4 Wire-Free Outdoor HD & 2 Arlo Q 1080p Indoor HD Cameras, White",4.1 out of 5 stars,98 ratings,"['Electronics', 'Security & Surveillance', 'Home Security Systems']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
320,B01CH260AW,"Cable Matters 2-Pack Computer to PDU Power Extension Cord, Power Extension Cable (IEC C14 to IEC C13 PDU Power Cord) 3 Feet",4.8 out of 5 stars,41 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Cables & Interconnects', 'Power Cables']","['SERVER POWER CABLE connects computer equipment to a power distribution unit or UPS in a data center; Male to female power cord has a C14 plug and a C13 receptacle', 'JUMPER IEC POWER CORD is useful for connecting computer equipment in tight spaces in a rack style PDU or UPS configuration; Daisy chain DJ LED lights to each other instead of running back to an outlet', 'IEC EXTENSION CORD extends the length of an existing power cord from computer equipment to a PDU in a network closet; Extend the connection of LED DMX light fixtures or a fog machine for a convenient and neat power arrangement', 'COST-EFFECTIVE 2-PACK of sturdy but flexible C13 to C14 power cords provides a spare to keep in your laptop bag or DJ gear when you need to extend the length of an existing cord', 'STURDY & SAFE with IEC 320 C13 and IEC 320 C14 connectors; 18 AWG power cord is constructed with a 3 conductor SJT cord in a bendable PVC jacket with molded strain relief connectors']"
