,asin,product_name,product_brand,product_rating,product_rate_count,category,description
0,B00L8LSMR8,MSI GeForce GT 730 Fermi DDR3 128-bit 2GB DirectX 12 (N730 2GD3V3),MSI,3.7 out of 5 stars,104 ratings,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components', 'Graphics Cards']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
1,B01788LT3S,"Vankey Cellphone Telescope Adapter Mount, Work with Binocular Monocular Spotting Scope Microscope for iPhone, Samsung, HTC, LG and More",Vankey,4.0 out of 5 stars,302 ratings,"['Electronics', 'Camera & Photo', 'Accessories', 'Telescope & Microscope Accessories', 'Microscope Accessories', 'Adapters']","['Make sure this fits\nby entering your model number.', 'Getting Amazing Image: With Vankey universal cellphone telescope adapter, connect your phone with telescope or microscope to explore far beautiful scene and amazing micro world.', 'Safe & Durable: The surface to connect phone and eyepiece are covered by soft EVA pad. Keep your device from being scratched and damaged. The body is made of aluminum alloy. The phone clamp is made of high strength PA Plastic. One purchase for long-time use.', 'Large Width Range: 54-90 mm / 2.12-3.54 inch. Fit for iPhone X/8/8 Plus/7/7 Plus/6/6s/6 Plus/5/5s, Samsung Galaxy S9/S8/S7/S6/S6/S5, Note 9/8/7/6/5, Sony, LG, HTC, Oneplus, and many other brands.', 'Eyepiece Size: The phone scope mount works with microscope, telescope, binoculars, monocular, spotting scope. The eyepiece outer diameter range: 28-47 mm / 1.1-1.85 inch.', ""Notes: If the phone adapter does not work with your device, or you do not know how to use it, please contact us for help, we'll reply to you within 24 hours. Our Service: 1 year warranty, 90-day money back warranty. Package Included: 1*Vankey Universal Cell Phone Adapter Mount, 1*User Manual, 1*Customer Service Card.""]"
2,B00SMBG8NC,VIZIO SB3820-C6 38-Inch 2.0 Channel Sound Bar,VIZIO,4.1 out of 5 stars,"1,181 ratings","['Electronics', 'Home Audio', 'Speakers', 'Sound Bars']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
3,B01ER2SMHY,Raspberry Pi NoIR Camera Module V2 - 8MP 1080P30,Raspberry Pi,4.0 out of 5 stars,61 ratings,"['Electronics', 'Computers & Accessories']","['Make sure this fits\nby entering your model number.', 'Computer accessories, Computers | Electronics, Electronics | Peripherals and spares']"
4,B00JWU8NIA,"Mohu Curve 30 TV Antenna, Indoor, 30 Mile Range, Modern Design, Tabletop, Paintable, 4K-Ready HDTV, 10 Foot Detachable Cable, Premium Materials for Performance, MH-110587 (Renewed)",Amazon Renewed,3.9 out of 5 stars,43 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Antennas', 'TV Antennas']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
5,B01845TVUM,Pure Acoustics Wireless Portable Bluetooth PA Audio Speaker with 2 Wireless Microphones FM Radio Party Karaoke Machine Sound System MCP-75 Suono Soundstream Red,Pure Acoustics,4.4 out of 5 stars,188 ratings,"['Electronics', 'Portable Audio & Video']","['No deductibles or added costs. Parts, labor and shipping included.', ""Power surge covered from day one. Other breakdowns covered after the manufacturer's warranty expires."", 'Includes 24/7 tech support - setup, connectivity issues, troubleshooting and much more.', ""File a claim online or by phone 24/7. If we can't repair it, we'll replace it or reimburse the purchase price with an Amazon e-gift card."", 'Plans are only valid for new or certified refurbished products purchased in the last 30 days with no pre-existing damage. Protection plan documents will be delivered via email within 24 hours of purchase.']"
6,B01CZUYN2I,0,0,0,0,0,0
7,B00SNGSI9I,iSaddle A118-C Capacitor Edition Vehicle On Dash Video Camera,iSaddle,4.2 out of 5 stars,6 ratings,"['Electronics', 'Car & Vehicle Electronics', 'Car Electronics', 'Car Video', 'On-Dash Cameras']","['Novatek NT96650 Chipset + Aptina AR0330 Lens - Lower Power Demand + Higher Video Compression', 'Capacitor Based Model, No Internal Battery!!! - Do not have to worry about your camera overheating, making it an ideal choice for drivers in hot climates.', 'Super Wide 170 Degree Angle + 6G Lens + WDR - Full HD 1080P 30 FPS with Night Vision, Advanced Wide Dynamic Range (WDR) Technology for Low Light / Night Recording', 'Extremely Covert Dash Camera Solution - Innovative Design + Adhesive Mount + Bracket Accessory Allow You to Install Dash Cam in Different Creative Ways', 'G-Sensor + Automatic Motion Detection + GPS(optional, not included)']"
8,B01B0NZZJ6,Genuine NEW Dell Slim 45W 492-BBHO 4H6NV PA-12 AC Power Adapter Charger,Dell,4.0 out of 5 stars,28 ratings,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Chargers & Adapters']","['Make sure this fits\nby entering your model number.', 'Manufacturer Part# : Dell Part# : 492-BBHO 4H6NV PA-12', '45-Watt enough to power and charge your laptop Comes bundled with 3.ft power cord', 'Item will comes bundled with 3.ft power cord', 'Item comes with protective outer skin', 'Direct from the Factory to you!']"
9,B00Q2V7S6K,"Lacdo Eva Shockproof Carrying Case for Western Digital My Passport Studio Ultra Slim Essential WD Elements Se Portable External Hard Drive 1TB 2TB 3TB 4TB 5TB USB 3.0 2.5 Inch HDD Travel Bag, Black",Lacdo,4.6 out of 5 stars,"1,510 ratings","['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Hard Drive Accessories', 'Hard Drive Bags & Cases']","['Make sure this fits\nby entering your model number.', 'COMPATIBLE & SIZE - Fit WD My Passport | WD My Passport Ultr | Western Digital Elements | Toshiba Canvio Basics | Seagate Backup Plus Slim Expansion | 1TB 2TB 3TB 4TB 5TB Universal case for most hard drive, power bank, GPS devices, digital camera, and more. Exterior: 5.6"" x 4.4"" x 1.5"" inchs & Interior: 4.8"" x 3.5"" x 1.0"" inchs.', ""WATER RESISTANT - Made of waterproof PU Material, which obstructs water and vapor effectively. Don't worry about getting your hard drive and accessories wet from splashing water or rain."", 'SHOCKPROOF - Extra soft, The anti-static, shock absorbing, the product can effectively absorb impacts. Reduce damages caused by accidentally bumping, protects your hard drive from bumps, scratches, and dents.', 'ENOUGH SPACE - Enough space to store USB cables, charge, and have Extra pocket to store memory cards, etc. each practical accessories you may use. Devices will be fastened with the inside security strap that can hold devices tightly', 'EASY TO CARRY - Hard texture. Perfect with lanyard and metal hook, you can just carrying the lanyard or use the metal hook matches lanyard fixed case on your backpack, makes it easy to carry for travelling.']"
10,B013WP94RO,"LENTION 3 USB Ports Hub with RJ45 LAN Adapter Laptop Ethernet Dock Network Extender Compatible MacBook Air/Pro (Previous Generation), Chromebook, Windows Laptop, More (White)",LENTION,4.1 out of 5 stars,92 ratings,"['Electronics', 'Computers & Accessories', 'Networking Products', 'Hubs']","['Make sure this fits\nby entering your model number.', 'Easily connect your computer to an Ethernet network with the small USB Ethernet Adapter, provides an RJ-45 connector that supports 10/100 BASE-T performance', 'Support data transfer rates of USB 2.0 High-Speed (480Mbps), USB Full-Speed (12Mbps) and USB Low-Speed (1.5Mbps); Support TCP/IP, NetBEUI, IPX/SPX', 'Share your high-speed Internet connection as well as files, printers, and hard drives when using a router as the central connection point of your network', 'Low power consumption and power supply by USB port without external source of power', 'Compatible with Windows XP/Vista/Win7/Win8/Win10, Mac OS, Linux, most Android system, such as MacBook Air 2009-2017 (Previous Generation), MacBook Pro 2008-2015 (Previous Generation), most windows laptops']"
11,B00UZ3LGKK,Bluedio U (UFO) PPS 8 Drivers High-End Bluetooth headphones Revolution/3D Sound Effect/Aluminum alloy build/Hi-Fi Rank wireless&wired Over-Ear headsets with carrying hard case Gift-package (Gold),Bluedio,3.3 out of 5 stars,79 ratings,"['Electronics', 'Headphones', 'Over-Ear Headphones']","['Make sure this fits\nby entering your model number.', '【PPS 8 Exclusive Acoustics Technology】Experience deep and powerful, yet well balanced music with the Bluedio exclusive and innovative 8 driver technology. Each frequency is accurately reproduced for a captivating listening experience.', ""【3D Surround Effect】 Dramatically enhancing your music doesn’t have to be complicated. Simply turn on the 3D surround effect, you'll experience something entirely new—a virtual 360° surround sound from the built-in 3D DSP processor, as if in a concert hall."", '【24-bit High Fidelity】Optimized for high-fidelity sound, the high-resolution Bluetooth decoder achieves a remarkable new level of speed: up to 24-bit signal processing. It helps reproduce abundant details, let you hear new details and nuances even in your most-played favorites.', '【Top Aviation Material】Al-Ti Alloy UFO is beautifully crafted with the top-notch aviation material: Al-Ti alloy, which features high strength performance with extreme lightweight (just 337g).Unbreakable, durable and drop resistant. Absolutely secure.', '【Latest Bluetooth 4.1 Chip】The Bluetooth 4.1 is the latest version released from SIG, vastly improved in energy savings. The rechargeable lithium-ion battery charges in just 3 hours with the included USB cable, and delivers up to 25 hours playing time per charge.', 'Connectivity technology : Wired and Wireless']"
12,B0141KPCDY,Cable Matters 5-Pack Gold Plated RCA Male to Female Split Adapter,Cable Matters,4.0 out of 5 stars,144 ratings,"['Electronics', 'Accessories & Supplies', 'Audio & Video Accessories', 'Cables & Interconnects', 'Audio Cables', 'RCA Cables']","['5-pack RCA splitters are used to split 1 RCA to 2 RCA', 'Convenient and cost-effective 10-pack RCA splitters provide spare or replacement adapters to use on different audio and video systems', 'Gold-plating resists corrosion and ensures minimal signal loss', 'Grip treads help easy plugging and unplugging']"
13,B01485JOWC,"Silicone Skin Case Cover For SanDisk Clip Jam MP3 Player 2015 Release (Model SDMX26), Purple",HappyZone,4.0 out of 5 stars,195 ratings,"['Electronics', 'Portable Audio & Video', 'MP3 & MP4 Player Accessories']","['Custom made designed for Sandisk Clip Jam 2015 Release (Model SDMX26) ONLY.', ""Please Note: NOT Compatible with other Sandsik Sansa Clip MP3 Player's models."", 'Soft touch, easy-to-grip, light weight and slim', 'Protect the back and sides of your device, allow full access to controls and ports', 'MP3 Player NOT included']"
